No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID,Class,Password
54,20120014,Ha Thanh,Long,Nam,17/11/2002,3218786874,20TTH2,123456789
55,20120015,Mai Thi Thao,Ly,Nu,26/2/2002,4868876351,20TTH2,123456789
56,20120016,Nguyen Duc,Manh,Nam,29/7/2002,8764086756,20TTH2,123456789
57,20120017,Tran Le,Minh,Nam,23/3/2002,6870680687,20TTH2,123456789
58,20120018,Dang Thanh,My,Nu,15/4/2002,8067608000,20TTH2,123456789
59,20120019,Dao Thanh,Nguyen,Nam,25/5/2001,8734053053,20TTH2,123456789
60,20120020,Vo Van Hoang,Nhat,Nam,13/9/2002,6232548608,20TTH2,123456789
61,20120021,Bui Thi Cam,Nhung,Nu,12/5/2002,167823649,20TTH2,123456789
62,20120022,Tran Huy,Phuong,Nam,18/8/2000,351465463,20TTH2,123456789
63,20120023,Vo Huu Anh,Tuan,Nam,13/4/2001,321685746,20TTH3,123456789
64,20120024,Le Trung,Nguyen,Nam,19/8/1998,321657632,20TTH3,123456789
65,20120025,Nguyen Nhat,Nguyen,Nam,22/1/2002,354532103,20TTH3,123456789
66,20120026,Tran Nhat,Nguyen,Nam,13/7/2002,165151006,20TTH3,123456789
67,20120027,Ha Xuan,Truong,Nam,14/9/2002,310608616,20TTH3,123456789
68,20120028,Pham Thuy Bich,Tuyen,Nu,16/12/2002,354861321,20TTH3,123456789
69,20120029,Huynh Minh,Tu,Nam,29/11/2002,897098983,20TTH3,123456789
70,20120030,Do Nguyen Dinh,Tuan,Nam,31/10/1999,874794165,20TTH3,123456789
71,20120031,Nguyen Anh,Tuan,Nam,22/8/2002,987461030,20TTH3,123456789
72,20120032,Nguyen Chi,Cong,Nam,19/10/2001,486415210,20TTH3,123456789
73,20120033,Vo Phi,Hung,Nam,30/3/2002,631068710,20TTH3,123456789
74,20120034,Hoang Hai,Hung,Nam,18/5/2001,687476810,20TTH3,123456789
75,20120035,Nguyen Minh,Hung,Nam,19/9/2002,534683210,20TTH3,123456789
76,20120036,Do Dang,Huy,Nam,22/6/2002,854130586,20TTH3,123456789
77,20120037,Nguyen Xuan,Huy,Nam,19/6/2002,786016545,20TTH3,123456789
78,20120038,Nguyen Canh,Huy,Nam,19/11/2002,687465132,20TTH3,123456789
79,20120039,Nguyen Nhat,Nam,Nam,13/4/2002,168461065,20TTH3,123456789
80,20120040,Nguyen Phi,Huyen,Nu,11/10/2002,654632123,20TTH3,123456789
